0.5,2.792921654
1.5,2.804974994
2.5,2.818979783
3.5,2.834946217
4.5,2.852879126
5.5,2.872777923
6.5,2.894636567
7.5,2.918443539
8.5,2.944181839
9.5,2.97182899
10.5,3.001357065
11.5,3.032732727
12.5,3.065917281
13.5,3.100866749
14.5,3.137531952
15.5,3.175858617
16.5,3.215787489
17.5,3.257254463
18.5,3.300190734
19.5,3.344522953
20.5,3.390173404
21.5,3.437060192
22.5,3.485097443
23.5,3.534195519
24.5,3.584261244
25.5,3.635198139
26.5,3.686906675
27.5,3.739284526
28.5,3.792226843
29.5,3.845626528
30.5,3.89937452
31.5,3.953360088
32.5,4.007471134
33.5,4.061594492
34.5,4.115616246
35.5,4.169422041
36.5,4.2228974
37.5,4.275928048
38.5,4.328400235
39.5,4.380201053
40.5,4.431218765
41.5,4.481343125
42.5,4.530465696
43.5,4.578480165
44.5,4.625282662
45.5,4.670772061
46.5,4.714850284
47.5,4.757422599
48.5,4.798397903
49.5,4.837689006
50.5,4.875212898
51.5,4.910891011
52.5,4.944649468
53.5,4.976419318
54.5,5.006136766
55.5,5.03374338
56.5,5.059186295
57.5,5.082418391
58.5,5.103398465
59.5,5.122091384
60.5,5.136414211
61.5,5.133998812
62.5,5.112824675
63.5,5.073126075
64.5,5.01534334
65.5,4.940119289
66.5,4.848293407
67.5,4.740893816
68.5,4.619127096
69.5,4.484366073
70.5,4.338135695
71.5,4.182097129
72.5,4.018030257
73.5,3.847814746
74.5,3.673409897
75.5,3.496833493
76.5,3.32013986
77.5,3.145397396
78.5,2.974665802
79.5,2.80997327
80.5,2.653293881
81.5,2.506525462
82.5,2.371468149
83.5,2.249803908
84.5,2.14307723
85.5,2.052677232
86.5,1.979821373
87.5,1.925540968
88.5,1.890668667
89.5,1.875828071
90.5,1.882069306
91.5,1.913444774
92.5,1.970542646
93.5,2.053025264
94.5,2.160272994
95.5,2.291389402
96.5,2.445209516
97.5,2.620311115
98.5,2.815028921
99.5,3.027471572
100.5,3.255541181
101.5,3.496955311
102.5,3.7492711
103.5,4.009911317
104.5,4.276192043
105.5,4.545351697
106.5,4.814581087
107.5,5.081054165
108.5,5.341959134
109.5,5.594529586
110.5,5.836075314
111.5,6.064012449
112.5,6.275892604
113.5,6.469430677
114.5,6.642531009
115.5,6.793311591
116.5,6.920126052
117.5,7.021583162
118.5,7.096563614
119.5,7.14423391
120.5,7.164057153
121.5,7.15580062
122.5,7.119540018
123.5,7.055660351
124.5,6.964853376
125.5,6.848111648
126.5,6.706719209
127.5,6.542239006
128.5,6.356497154
129.5,6.151564207
130.5,5.929733618
131.5,5.693497629
132.5,5.445520824
133.5,5.188611638
134.5,4.925692122
135.5,4.659766289
136.5,4.393887388
137.5,4.131124454
138.5,3.874528509
139.5,3.627098781
140.5,3.391749318
141.5,3.171276367
142.5,2.968326879
143.5,2.785368505
144.5,2.624661415
145.5,2.488232256
146.5,2.377850566
147.5,2.295007899
148.5,2.240899918
149.5,2.21641166
150.5,2.222866198
151.5,2.265061874
152.5,2.343635622
153.5,2.458064614
154.5,2.607428057
155.5,2.790415326
156.5,3.005338453
157.5,3.25014884
158.5,3.522458052
159.5,3.819562461
160.5,4.138471499
161.5,4.475939231
162.5,4.828498897
163.5,5.192500072
164.5,5.56414804
165.5,5.939544956
166.5,6.314732354
167.5,6.685734528
168.5,7.048602326
169.5,7.399456857
170.5,7.734532642
171.5,8.050219716
172.5,8.343104222
173.5,8.610007033
174.5,8.848019966
175.5,9.054539182
176.5,9.227295374
177.5,9.36438042
178.5,9.464270156
179.5,9.525843025
180.5,9.552485627
181.5,9.568476893
182.5,9.577869825
183.5,9.580654059
184.5,9.576837572
185.5,9.566446743
186.5,9.549526368
187.5,9.526139616
188.5,9.496367936
189.5,9.460310916
190.5,9.418086083
191.5,9.369828659
192.5,9.315691258
193.5,9.255843544
194.5,9.190471827
195.5,9.119778621
196.5,9.043982144
197.5,8.963315785
198.5,8.878027511
199.5,8.788379242
200.5,8.69464618
201.5,8.597116095
202.5,8.496088576
203.5,8.391874244
204.5,8.284793935
205.5,8.175177838
206.5,8.063364621
207.5,7.949700514
208.5,7.834538374
209.5,7.718236729
210.5,7.601158794
211.5,7.483671478
212.5,7.366144375
213.5,7.248948735
214.5,7.132456435
215.5,7.017038946
216.5,6.903066282
217.5,6.790905966
218.5,6.680921989
219.5,6.573473774
220.5,6.468915155
221.5,6.36759336
222.5,6.269848014
223.5,6.176010157
224.5,6.086401281
225.5,6.001332391
226.5,5.921103093
227.5,5.846000706
228.5,5.776299412
229.5,5.712259432
230.5,5.65412624
231.5,5.60212982
232.5,5.556483956
233.5,5.517385572
234.5,5.48501411
235.5,5.459530961
236.5,5.441078936
237.5,5.429781798
238.5,5.425743837
239.5,5.4290495
240.5,1
241.5,5.449995763
242.5,5.464420431
243.5,5.482582648
244.5,5.504483514
245.5,5.530113683
246.5,5.559453347
247.5,5.592472251
248.5,5.629129735
249.5,5.669374812
250.5,5.713146265
251.5,5.760372783
252.5,5.810973121
253.5,5.864856284
254.5,5.921921753
255.5,5.982059722
256.5,6.045151372
257.5,6.111069171
258.5,6.179677195
259.5,6.250831478
260.5,6.324380381
261.5,6.400164991
262.5,6.478019537
263.5,6.557771824
264.5,6.639243695
265.5,6.722251504
266.5,6.80660661
267.5,6.892115883
268.5,6.97858223
269.5,7.06580513
270.5,7.15358118
271.5,7.241704655
272.5,7.329968071
273.5,7.41816276
274.5,7.506079448
275.5,7.593508836
276.5,7.680242186
277.5,7.7660719
278.5,7.850792112
279.5,7.93419926
